customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,CustomerRating,MonthlyCharges,TotalCharges,Churn
512267-XJQFU,Male,1,1,1,66,1,1,Fiber optic,0,1,1,1,1,1,12,1,3,11228.45,712276.35,0
3957-SQXML,Female,122,1,1,34,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,2,24.95,894.3,0
5954-BDFSG,Female,122,0,0,72,1,1,Fiber optic,0,0,1,1,1,1,24,1,2,11227.5,7853.7,0
122434-CSFON,Female,122,1,0,47,1,1,Fiber optic,0,0,1,0,1,1,3,1,3,1122122.5,471227.1,0
1215-FIGMP,Male,122,0,0,6122,1,1,Fiber optic,0,1,0,0,1,0,3,1,5,89.9,545122.7,0
122526-SXDJP,Male,122,1,0,72,0,0 phone service,DSL,1,1,1,0,0,0,24,0,5,42.1,2962,0
122557-ASKVU,Female,122,1,1,18,1,0,DSL,0,0,1,1,0,0,12,1,2,54.4,957.1,0
5698-BQJOH,Female,122,0,0,9,1,1,Fiber optic,0,0,0,0,1,1,3,0,3,94.4,857.25,1
5122-CYFXA,Female,122,0,0,3,1,0,DSL,0,1,0,1,1,1,3,1,3,75.3,244.1,0
8627-ZYGSZ,Male,122,1,0,47,1,1,Fiber optic,0,1,0,0,0,0,12,1,3,78.9,365122.35,0
341122-YOQBQ,Female,122,0,0,31,1,0,DSL,0,1,1,1,1,1,24,0,4,79.2,2497.2,0
317122-NMYVV,Female,122,1,1,5122,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,5,2122.15,93122.9,0
741122-OIEDU,Male,122,0,0,1122,1,0,Fiber optic,1,0,1,0,0,0,3,1,4,79.85,887.35,0
2273-QCKXA,Male,122,0,0,1,1,0,DSL,0,0,0,1,0,0,3,0,4,49.1225,49.1225,0
122731-EBJQB,Female,122,1,1,52,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,1,3,2122.4,11229122.65,0
1891-QRQSA,Male,1,1,1,64,1,1,Fiber optic,1,0,1,1,1,1,24,1,5,111.6,712299,0
812228-PNXHQ,Male,122,1,1,62,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,5,24.25,1424.6,0
563122-AHZIL,Female,122,0,1,3,1,0,DSL,1,0,0,1,0,1,3,1,5,64.5,177.4,0
2673-CXQEU,Female,1,0,0,56,1,1,Fiber optic,1,1,1,0,1,1,12,0,3,11122.5,6139.5,0
6416-JNVRK,Female,122,0,0,46,1,0,DSL,0,0,0,0,0,1,12,0,2,55.65,2688.85,0
559122-ZSKRV,Female,122,1,1,8,1,0,DSL,1,1,0,0,0,0,3,0,4,54.65,482.25,0
122191-ZHSKZ,Male,1,0,0,3122,1,0,DSL,1,1,0,0,1,1,3,1,3,74.75,2111.3,0
3887-PBQAO,Female,122,1,1,45,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,1,2,25.9,1216.6,0
5919-TMRGD,Female,122,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,3,1,3,79.35,79.35,1
811228-UXRQN,Female,122,1,1,11,0,0 phone service,DSL,1,0,0,0,1,1,3,0,3,5122.55,565.35,0
9191-MYQKX,Female,122,1,0,7,1,0,Fiber optic,0,0,1,0,0,0,3,1,5,75.15,496.9,1
9919-YLNNG,Female,122,0,0,42,1,0,Fiber optic,0,1,1,1,1,1,3,1,5,11223.8,4327.5,0
122318-ZOPWS,Female,122,1,0,49,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,5,2122.15,973.35,0
4445-ZJNMU,Male,122,0,0,9,1,1,Fiber optic,0,1,0,0,1,1,3,1,2,99.3,918.75,0
481228-YNLEU,Female,122,1,0,35,1,0,DSL,1,0,0,0,1,0,12,1,5,62.15,2215.45,0
1862-QRWPE,Female,122,1,1,48,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,5,2122.65,112257,0
2796-NNUFI,Female,122,1,1,46,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,4,19.95,927.1,0
312216-KSVCP,Male,122,1,0,29,0,0 phone service,DSL,0,0,0,0,1,0,3,0,4,33.75,11221229.25,0
4767-HZZHQ,Male,122,1,1,3122,1,0,Fiber optic,0,1,1,0,0,0,3,0,5,82.1225,257122.2,0
2424-WVHPL,Male,1,0,0,1,1,0,Fiber optic,0,0,0,1,0,0,3,0,3,74.7,74.7,0
7233-PAHHL,Male,122,1,1,66,1,1,DSL,1,0,1,1,1,1,24,1,4,84,5714.25,0
612267-NGCEU,Female,122,0,0,65,1,1,Fiber optic,1,1,1,0,1,1,3,1,2,111.1225,711227,0
9848-JQJTX,Male,122,0,0,72,1,1,Fiber optic,0,1,1,0,1,1,24,1,5,1122122.9,7459.1225,0
8637-XJIVR,Female,122,0,0,12,1,1,Fiber optic,1,0,0,0,0,0,3,1,3,78.95,927.35,1
981223-FTJCG,Male,122,1,1,71,1,1,DSL,1,1,0,1,0,0,12,1,2,66.85,4748.7,0
122278-YXOOG,Male,122,0,0,5,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,21.1225,113.85,1
3212-KXOCR,Male,122,0,0,52,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,5,21,111227.2,0
4598-XLKNJ,Female,1,1,0,25,1,0,Fiber optic,0,1,1,0,1,1,3,1,3,98.5,2514.5,1
638122-ARCEH,Male,122,0,0,1,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,2122.2,2122.2,0
3679-XASPY,Female,122,1,1,1,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,3,19.45,19.45,0
7123-WQUHX,Male,122,0,0,38,1,1,Fiber optic,0,0,1,1,1,0,12,0,5,95,361225.6,0
5386-THSLQ,Female,1,1,0,66,0,0 phone service,DSL,0,1,1,0,1,0,12,0,5,45.55,312227.25,0
3192-NQECA,Male,122,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,24,1,5,11122,7611.85,1
618122-YBIQI,Male,122,0,0,5,0,0 phone service,DSL,0,0,0,0,0,0,3,0,4,24.3,1122122.2,0
6728-DKUCO,Female,122,1,1,72,1,1,Fiber optic,1,1,0,0,1,1,12,1,3,11224.15,731223.1225,0
975122-BOOHV,Female,122,0,0,32,0,0 phone service,DSL,1,0,0,0,0,0,12,0,4,3122.15,927.65,0
8597-CWYHH,Male,122,0,0,43,1,1,Fiber optic,0,0,0,0,1,1,12,0,4,94.35,3921.3,0
2848-YXSMW,Male,122,1,1,72,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,2,19.4,1363.25,0
122486-HECZI,Male,122,1,0,55,1,1,Fiber optic,1,1,0,0,1,0,3,1,3,96.75,5238.9,1
4549-ZDQYY,Female,122,0,0,52,1,0,DSL,1,0,1,1,0,0,12,0,2,57.95,312242.25,0
5712-AHQNN,Female,122,0,0,43,1,0,Fiber optic,0,1,1,0,1,0,3,1,3,91.65,3954.1,0
4846-WHAFZ,Female,1,1,0,37,1,1,Fiber optic,0,0,0,0,0,0,3,1,3,76.5,2868.15,1
5256-SKJGO,Female,122,1,1,64,0,0 phone service,DSL,0,1,0,1,1,1,24,1,3,54.6,3423.5,0
312271-VBYPO,Male,122,1,1,3,1,0,Fiber optic,1,1,0,0,1,0,3,0,3,89.85,248.4,0
956122-BBZXK,Female,122,0,0,36,0,0 phone service,DSL,1,0,0,0,0,0,24,0,5,31.1225,1126.35,0
5299-RULOA,Female,122,1,1,1122,1,1,Fiber optic,1,0,0,0,1,1,3,1,3,1122122.25,112264.65,1
841222-OOOHJ,Female,122,0,0,41,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,4,2122.65,835.15,0
9445-ZUEQE,Male,122,1,1,27,1,1,Fiber optic,0,1,0,1,0,0,3,1,2,85.2,2151.6,0
112291-SOZGA,Female,122,1,1,56,1,1,Fiber optic,0,0,1,0,1,1,12,1,2,99.8,5515.45,0
2928-HLDBA,Female,122,0,0,6,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,2122.7,112.75,0
12241224-SWRVG,Male,122,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,3,1,3,74.4,229.55,1
6497-TILVL,Female,122,1,1,7,1,0,DSL,1,0,0,0,0,0,3,0,4,5122.7,35122.35,0
7219-TLZHO,Female,122,1,1,4,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,2122.85,62.9,0
4622-YNKIJ,Male,122,0,0,33,1,0,Fiber optic,1,0,0,1,1,0,24,1,3,88.95,312227.65,0
4412-YLTKF,Female,1,0,0,27,1,1,Fiber optic,0,0,1,0,0,0,3,1,3,78.1225,2135.5,1
6734-PSBAW,Male,122,1,0,72,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,5,23.55,1723.95,0
393122-ZGWVE,Male,122,0,0,1,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,19.75,19.75,0
2639-UGMAZ,Male,1,0,0,71,0,0 phone service,DSL,1,1,0,0,1,1,12,1,3,56.45,3985.35,0
2876-GZYZC,Female,122,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,3,1,3,85.95,1215.65,0
621227-WIOLX,Female,122,1,1,25,0,0 phone service,DSL,1,1,1,0,1,1,3,1,2,58.6,151222.65,1
8587-XYZSF,Male,122,0,0,67,1,0,DSL,0,0,0,1,0,0,24,0,5,5122.55,326122.1,0
312291-FYHKI,Male,122,0,0,1,0,0 phone service,DSL,0,0,0,0,0,1,3,1,3,35.45,35.45,1
2372-HWUHI,Male,122,0,0,2,1,0,DSL,0,0,0,0,0,0,3,0,3,44.35,81.25,1
7799-LGRDP,Female,122,0,0,43,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,2,25.7,1188.2,0
785122-VWJUU,Female,122,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,3,1,5,75,1778.5,0
3774-VBNXY,Female,122,1,1,64,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,4,2122.2,1277.75,0
6217-KDYWC,Male,122,0,1,57,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,4,19.6,117122.55,0
12239122-DCFDQ,Female,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,3,1,4,7122.45,7122.45,1
3146-MSEGF,Female,1,1,1,72,1,1,DSL,1,1,1,1,1,1,24,1,2,88.1225,6425.65,0
41228122-OGPJL,Female,122,0,0,8,1,1,DSL,1,0,0,1,0,1,3,0,3,71.15,563.65,1
112295-WGNGG,Female,122,1,0,61,1,1,Fiber optic,0,1,0,0,1,1,24,1,5,11221.1225,5971.25,0
2636-SJDOU,Male,122,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,12,1,2,84.3,5289.1225,0
1131-QQZEB,Male,1,1,0,71,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,5,23.95,1756.2,0
5716-EZXZN,Female,122,1,1,65,1,1,Fiber optic,1,1,0,1,1,0,24,1,2,99.1225,6416.7,0
6837-BJYDQ,Male,122,0,0,3,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,4,19.6,61.35,0
2135-RXIHG,Male,122,0,0,1,1,0,DSL,0,0,0,0,0,0,3,1,3,45.65,45.65,1
644122-DKQGE,Male,122,0,1,3122,1,0,DSL,0,1,1,0,1,0,12,0,2,64.5,1929.95,0
3466-BYAVD,Male,122,1,1,15,1,0,DSL,0,1,1,1,0,1,3,1,4,69.5,112271.4,0
378122-YVMFA,Female,122,1,1,8,1,0,DSL,0,0,0,1,1,1,3,1,3,68.55,564.35,0
3874-EQOEP,Male,122,0,0,7,1,1,Fiber optic,0,0,0,0,1,1,3,0,4,95,655.5,1
1679-JRFBR,Female,122,1,1,7122,1,1,Fiber optic,1,1,1,0,1,1,12,1,2,11228.15,793122.55,0
912273-ZZIAY,Male,122,1,1,62,1,0,DSL,1,1,1,1,1,1,24,0,3,86.1,5215.25,0
312277-RSNTJ,Female,122,1,1,6,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,19.7,113.5,0
6551-GNYDG,Female,122,1,1,14,1,0,Fiber optic,0,0,0,0,0,1,3,1,5,8122.9,1152.8,0
9167-APMXZ,Female,122,0,0,22,1,1,Fiber optic,0,0,0,0,1,0,3,1,5,84.15,1821.95,0
2749-CTKAJ,Male,122,1,1,22,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,4,2122.15,419.9,0
6371-NZYEG,Male,122,1,1,16,1,0,DSL,1,0,1,0,1,0,24,0,4,64.25,112224,0
7554-NEWDD,Male,122,0,0,1122,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,5,25.7,251.6,0
8992-VONJD,Female,122,0,1,13,1,0,DSL,1,1,0,0,0,0,3,1,3,56,764.55,0
122867-MKZVY,Female,122,1,0,2122,1,1,Fiber optic,1,0,0,0,0,0,3,0,3,82.4,1592.35,1
4482-EWFMI,Female,122,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,3,1,3,69.7,135.2,0
4648-YPBTM,Male,122,0,0,53,1,1,DSL,0,1,1,1,0,1,24,1,5,73.9,3958.25,0
291227-ILJBN,Female,122,1,1,11,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,4,2122.6,233.9,0
6345-FZOQH,Male,122,1,0,69,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,4,19.9,1363.45,0
3376-BMGFE,Female,122,0,0,4,1,0,Fiber optic,0,0,0,0,0,0,3,1,5,7122.9,273,1
5997-OPVFA,Male,122,1,0,72,1,1,DSL,1,1,1,1,1,1,24,1,5,89.1225,6254.45,0
3445-HXXGF,Male,1,1,0,58,0,0 phone service,DSL,0,1,1,0,0,1,3,1,3,45.3,2651.2,1
1159-WFSGR,Female,122,1,1,16,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,3,2122.4,321.4,0
7654-YWJUF,Male,122,1,0,43,1,0,Fiber optic,1,0,1,1,0,0,12,1,5,84.25,3539.25,0
1875-QIVME,Female,122,1,0,2,1,1,Fiber optic,0,0,1,1,1,1,3,1,3,11224.4,242.8,1
6727-IOTLZ,Male,122,1,0,14,1,0,DSL,0,1,1,1,1,1,24,0,4,81.95,1181.75,0
122691-JVSYA,Female,122,1,0,53,1,0,Fiber optic,0,0,1,0,1,1,12,1,5,94.85,5122122122,1
5918-VUKWP,Female,122,0,0,32,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,5,2122.55,654.55,0
1744-JHKYS,Female,122,1,0,34,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,3,24.7,78122.2,0
2656-FMOKZ,Female,1,0,0,15,1,1,Fiber optic,0,0,0,0,0,0,3,1,4,74.45,1145.7,1
21227122-FNEXE,Female,1,0,0,7,1,0,Fiber optic,1,0,0,0,0,0,3,0,5,76.45,51223.6,1
5947-SGKCL,Female,122,1,1,15,1,1,Fiber optic,0,1,1,0,1,1,3,1,5,11225.35,1559.25,0
3712-PKXZA,Male,122,1,0,61,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,1,2,2122.55,1252,0
6317-YPKDH,Female,122,0,0,1,0,0 phone service,DSL,0,1,0,0,0,0,3,0,5,29.95,29.95,1
6582-OIVSP,Female,122,0,0,1,1,0,DSL,0,0,0,0,0,0,3,0,4,45.3,45.3,0
9367-WXLCH,Male,122,0,0,8,1,1,Fiber optic,0,0,0,0,0,1,3,0,5,84.5,662.65,1
5524-KHNJP,Male,122,1,1,33,1,0,DSL,1,0,1,0,1,1,12,0,2,74.75,2453.3,0
1918-ZBFQJ,Female,122,0,0,13,1,0,Fiber optic,0,1,1,0,0,0,3,1,3,79.25,1111.65,1
112224-GUALD,Female,122,1,0,1,0,0 phone service,DSL,0,0,0,0,0,0,3,1,3,24.8,24.8,1
4827-USJHP,Male,122,0,0,2122,1,0,DSL,0,1,0,0,0,0,3,1,4,51.8,112223.85,0
8167-GJLRN,Male,122,0,0,3,0,0 phone service,DSL,0,0,0,1,0,0,3,0,3,3122.4,82.15,0
122956-SYCWG,Female,122,0,0,13,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,3,19.65,244.8,0
812217-UVSZU,Female,122,1,0,4122,1,1,DSL,0,1,0,0,0,0,3,0,2,56.6,2379.1,0
71122122-FQPRV,Male,122,1,1,43,1,1,DSL,1,0,0,1,0,1,12,1,2,71.9,3173.35,0
2472-OVKUP,Male,122,1,0,6,1,0,Fiber optic,0,1,1,0,0,1,3,1,3,91,531,1
2984-RGEYA,Female,122,1,1,69,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,5,19.75,1375.4,0
968122-NIAUV,Female,122,1,1,72,1,1,Fiber optic,1,1,1,0,1,1,24,0,2,11229.7,8129.3,0
2146-EGVDT,Male,122,1,1,59,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,2,19.3,1192.7,0
261224-IJPDU,Female,122,1,0,2122,1,0,Fiber optic,1,1,0,1,1,0,3,1,3,96.55,191221.65,0
9178-JHUVJ,Male,122,1,1,24,1,1,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,1,5,24.1,587.4,0
6168-YBYNP,Male,122,0,0,59,1,1,Fiber optic,0,1,1,1,1,1,3,1,3,111.35,6519.75,0
7255-SSFBC,Male,122,1,1,72,1,1,Fiber optic,0,1,1,1,1,1,24,1,5,112.25,812241.65,0
3645-DEYGF,Male,122,0,1,1,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,2122.75,2122.75,0
9323-HGFWY,Female,122,1,0,27,1,0,Fiber optic,1,0,0,1,1,1,12,1,2,11221.9,2681.15,0
8544-GOQSH,Female,122,0,0,14,1,0,Fiber optic,0,1,0,1,0,0,3,1,2,8122.1225,1112.3,0
3363-DTIVD,Male,122,1,1,71,1,1,Fiber optic,1,0,1,0,1,1,24,0,3,11225.55,741225.5,0
712218-WBJNK,Male,122,0,1,13,1,0,Fiber optic,0,0,0,0,1,0,3,1,2,78.3,112233.95,0
9142-KZXOP,Male,122,0,0,44,1,0,Fiber optic,0,0,0,0,0,0,3,0,2,68.85,2958.95,0
7674-YTAFD,Female,122,0,0,33,1,0,Fiber optic,0,1,0,1,0,0,12,1,5,79.95,2684.85,0
6348-SNFUS,Male,122,1,1,72,0,0 phone service,DSL,1,1,1,1,0,1,24,1,2,55.45,4179.2,0
1285-OKIPP,Male,122,0,0,1,1,0,Fiber optic,0,0,0,0,0,1,3,0,3,79.9,79.9,1
7825-ECJRF,Female,122,0,0,19,1,0,Fiber optic,1,0,1,1,1,1,3,1,3,11226.6,1934.45,1
1347-KTTTA,Male,122,1,0,64,1,0,Fiber optic,0,1,1,1,1,1,12,1,2,11222.45,6654.1,0
7841-TZDMQ,Male,122,0,0,2,1,0,DSL,0,0,0,0,0,0,3,1,2,46,84.5,1
4195-NZGTA,Female,122,0,0,1,0,0 phone service,DSL,0,0,0,0,0,0,3,0,3,25.25,25.25,0
7157-SMCFK,Male,122,0,1,61,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,4,19.75,1124.2,0
471229-LKHYG,Female,122,1,1,29,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,3,2122,54122.1225,0
251224-DSHIH,Male,1,1,0,23,1,1,Fiber optic,0,0,0,0,0,1,3,0,3,86.8,1975.85,0
122699-NDKJM,Female,122,1,0,57,0,0 phone service,DSL,1,1,1,0,1,1,3,1,5,58.75,3437.45,0
